Text,色情,冒犯,政治,犯罪,禁用語,外部連結
肉洞,1.0,0.0,0.0,0.0,0.0,0.0
肉縫,1.0,0.0,0.0,0.0,0.0,0.0
肉棍,1.0,0.0,0.0,0.0,0.0,0.0
肉莖,1.0,0.0,0.0,0.0,0.0,0.0
肉具,1.0,0.0,0.0,0.0,0.0,0.0
揉乳,1.0,0.0,0.0,0.0,0.0,0.0
肉穴,1.0,0.0,0.0,0.0,0.0,0.0
肉欲,1.0,0.0,0.0,0.0,0.0,0.0
乳爆,1.0,0.0,0.0,0.0,0.0,0.0
乳房,1.0,0.0,0.0,0.0,0.0,0.0
乳溝,1.0,0.0,0.0,0.0,0.0,0.0
乳交,1.0,0.0,0.0,0.0,0.0,0.0
乳頭,1.0,0.0,0.0,0.0,0.0,0.0
騷逼,1.0,0.0,0.0,0.0,0.0,0.0
騷比,1.0,0.0,0.0,0.0,0.0,0.0
騷女,1.0,0.0,0.0,0.0,0.0,0.0
騷水,1.0,0.0,0.0,0.0,0.0,0.0
騷穴,1.0,0.0,0.0,0.0,0.0,0.0
色逼,1.0,0.0,0.0,0.0,0.0,0.0
色界,1.0,0.0,0.0,0.0,0.0,0.0
色貓,1.0,0.0,0.0,0.0,0.0,0.0
色盟,1.0,0.0,0.0,0.0,0.0,0.0
色情網站,1.0,0.0,0.0,0.0,0.0,0.0
色區,1.0,0.0,0.0,0.0,0.0,0.0
色色,1.0,0.0,0.0,0.0,0.0,0.0
色誘,1.0,0.0,0.0,0.0,0.0,0.0
色欲,1.0,0.0,0.0,0.0,0.0,0.0
色b,1.0,0.0,0.0,0.0,0.0,0.0
少年阿賓,1.0,0.0,0.0,0.0,0.0,0.0
射爽,1.0,0.0,0.0,0.0,0.0,0.0
射顏,1.0,0.0,0.0,0.0,0.0,0.0
食精,1.0,0.0,0.0,0.0,0.0,0.0
釋欲,1.0,0.0,0.0,0.0,0.0,0.0
獸奸,1.0,0.0,0.0,0.0,0.0,0.0
獸交,1.0,0.0,0.0,0.0,0.0,0.0
手淫,1.0,0.0,0.0,0.0,0.0,0.0
傻逼,1.0,0.0,0.0,0.0,0.0,0.0
傻b,1.0,0.0,0.0,0.0,0.0,0.0
傻吊,1.0,0.0,0.0,0.0,0.0,0.0
傻叉,1.0,0.0,0.0,0.0,0.0,0.0
獸欲,1.0,0.0,0.0,0.0,0.0,0.0
熟婦,1.0,0.0,0.0,0.0,0.0,0.0
熟母,1.0,0.0,0.0,0.0,0.0,0.0
熟女,1.0,0.0,0.0,0.0,0.0,0.0
爽片,1.0,0.0,0.0,0.0,0.0,0.0
雙臀,1.0,0.0,0.0,0.0,0.0,0.0
死逼,1.0,0.0,0.0,0.0,0.0,0.0
絲襪,1.0,0.0,0.0,0.0,0.0,0.0
絲誘,1.0,0.0,0.0,0.0,0.0,0.0
松島楓,1.0,0.0,0.0,0.0,0.0,0.0
酥癢,1.0,0.0,0.0,0.0,0.0,0.0
東加麗,1.0,0.0,0.0,0.0,0.0,0.0
套弄,1.0,0.0,0.0,0.0,0.0,0.0
體奸,1.0,0.0,0.0,0.0,0.0,0.0
體位,1.0,0.0,0.0,0.0,0.0,0.0
舔腳,1.0,0.0,0.0,0.0,0.0,0.0
舔陰,1.0,0.0,0.0,0.0,0.0,0.0
偷歡,1.0,0.0,0.0,0.0,0.0,0.0
推油,1.0,0.0,0.0,0.0,0.0,0.0
脫內褲,1.0,0.0,0.0,0.0,0.0,0.0
文做,1.0,0.0,0.0,0.0,0.0,0.0
舞女,1.0,0.0,0.0,0.0,0.0,0.0
吸精,1.0,0.0,0.0,0.0,0.0,0.0
夏川純,1.0,0.0,0.0,0.0,0.0,0.0
相奸,1.0,0.0,0.0,0.0,0.0,0.0
小逼,1.0,0.0,0.0,0.0,0.0,0.0
校雞,1.0,0.0,0.0,0.0,0.0,0.0
小穴,1.0,0.0,0.0,0.0,0.0,0.0
小xue,1.0,0.0,0.0,0.0,0.0,0.0
性感妖嬈,1.0,0.0,0.0,0.0,0.0,0.0
性感誘惑,1.0,0.0,0.0,0.0,0.0,0.0
性虎,1.0,0.0,0.0,0.0,0.0,0.0
性饑渴,1.0,0.0,0.0,0.0,0.0,0.0
性技巧,1.0,0.0,0.0,0.0,0.0,0.0
性交,1.0,0.0,0.0,0.0,0.0,0.0
性奴,1.0,0.0,0.0,0.0,0.0,0.0
性虐,1.0,0.0,0.0,0.0,0.0,0.0
性息,1.0,0.0,0.0,0.0,0.0,0.0
性欲,1.0,0.0,0.0,0.0,0.0,0.0
胸推,1.0,0.0,0.0,0.0,0.0,0.0
穴口,1.0,0.0,0.0,0.0,0.0,0.0
穴圖,1.0,0.0,0.0,0.0,0.0,0.0
亞情,1.0,0.0,0.0,0.0,0.0,0.0
顏射,1.0,0.0,0.0,0.0,0.0,0.0
陽具,1.0,0.0,0.0,0.0,0.0,0.0
楊思敏,1.0,0.0,0.0,0.0,0.0,0.0
要射了,1.0,0.0,0.0,0.0,0.0,0.0
夜勤病棟,1.0,0.0,0.0,0.0,0.0,0.0
一本道,1.0,0.0,0.0,0.0,0.0,0.0
一夜歡,1.0,0.0,0.0,0.0,0.0,0.0
一夜情,1.0,0.0,0.0,0.0,0.0,0.0
一ye情,1.0,0.0,0.0,0.0,0.0,0.0
陰部,1.0,0.0,0.0,0.0,0.0,0.0
淫蟲,1.0,0.0,0.0,0.0,0.0,0.0
陰唇,1.0,0.0,0.0,0.0,0.0,0.0
淫蕩,1.0,0.0,0.0,0.0,0.0,0.0
陰道,1.0,0.0,0.0,0.0,0.0,0.0
淫電影,1.0,0.0,0.0,0.0,0.0,0.0
陰阜,1.0,0.0,0.0,0.0,0.0,0.0
淫婦,1.0,0.0,0.0,0.0,0.0,0.0
淫河,1.0,0.0,0.0,0.0,0.0,0.0
陰核,1.0,0.0,0.0,0.0,0.0,0.0
陰戶,1.0,0.0,0.0,0.0,0.0,0.0
淫賤,1.0,0.0,0.0,0.0,0.0,0.0
淫叫,1.0,0.0,0.0,0.0,0.0,0.0
淫教師,1.0,0.0,0.0,0.0,0.0,0.0
陰莖,1.0,0.0,0.0,0.0,0.0,0.0
陰精,1.0,0.0,0.0,0.0,0.0,0.0
淫浪,1.0,0.0,0.0,0.0,0.0,0.0
淫媚,1.0,0.0,0.0,0.0,0.0,0.0
淫糜,1.0,0.0,0.0,0.0,0.0,0.0
淫魔,1.0,0.0,0.0,0.0,0.0,0.0
淫母,1.0,0.0,0.0,0.0,0.0,0.0
淫女,1.0,0.0,0.0,0.0,0.0,0.0
淫虐,1.0,0.0,0.0,0.0,0.0,0.0
淫妻,1.0,0.0,0.0,0.0,0.0,0.0
淫情,1.0,0.0,0.0,0.0,0.0,0.0
淫色,1.0,0.0,0.0,0.0,0.0,0.0
淫聲浪語,1.0,0.0,0.0,0.0,0.0,0.0
淫獸學園,1.0,0.0,0.0,0.0,0.0,0.0
淫書,1.0,0.0,0.0,0.0,0.0,0.0
淫術煉金士,1.0,0.0,0.0,0.0,0.0,0.0
淫水,1.0,0.0,0.0,0.0,0.0,0.0
淫娃,1.0,0.0,0.0,0.0,0.0,0.0
淫威,1.0,0.0,0.0,0.0,0.0,0.0
淫褻,1.0,0.0,0.0,0.0,0.0,0.0
淫樣,1.0,0.0,0.0,0.0,0.0,0.0
淫液,1.0,0.0,0.0,0.0,0.0,0.0
淫照,1.0,0.0,0.0,0.0,0.0,0.0
陰b,1.0,0.0,0.0,0.0,0.0,0.0
應召,1.0,0.0,0.0,0.0,0.0,0.0
幼交,1.0,0.0,0.0,0.0,0.0,0.0
欲火,1.0,0.0,0.0,0.0,0.0,0.0
欲女,1.0,0.0,0.0,0.0,0.0,0.0
玉乳,1.0,0.0,0.0,0.0,0.0,0.0
玉穴,1.0,0.0,0.0,0.0,0.0,0.0
援交,1.0,0.0,0.0,0.0,0.0,0.0
原味內衣,1.0,0.0,0.0,0.0,0.0,0.0
援助交際,1.0,0.0,0.0,0.0,0.0,0.0
招雞,1.0,0.0,0.0,0.0,0.0,0.0
招妓,1.0,0.0,0.0,0.0,0.0,0.0
抓胸,1.0,0.0,0.0,0.0,0.0,0.0
自慰,1.0,0.0,0.0,0.0,0.0,0.0
作愛,1.0,0.0,0.0,0.0,0.0,0.0
a片,1.0,0.0,0.0,0.0,0.0,0.0
bitch,1.0,0.0,0.0,0.0,0.0,0.0
fuck,1.0,0.0,0.0,0.0,0.0,0.0
gay片,1.0,0.0,0.0,0.0,0.0,0.0
g點,1.0,0.0,0.0,0.0,0.0,0.0
失身粉,1.0,0.0,0.0,0.0,0.0,0.0
淫蕩自慰器,1.0,0.0,0.0,0.0,0.0,0.0
biz,0.0,0.0,0.0,0.0,0.0,1.0
.link,0.0,0.0,0.0,0.0,0.0,1.0
.fun,0.0,0.0,0.0,0.0,0.0,1.0
.ltd,0.0,0.0,0.0,0.0,0.0,1.0
.fund,0.0,0.0,0.0,0.0,0.0,1.0
.ong,0.0,0.0,0.0,0.0,0.0,1.0
.group,0.0,0.0,0.0,0.0,0.0,1.0
.club,0.0,0.0,0.0,0.0,0.0,1.0
.uk,0.0,0.0,0.0,0.0,0.0,1.0
.live,0.0,0.0,0.0,0.0,0.0,1.0
.party,0.0,0.0,0.0,0.0,0.0,1.0
.site,0.0,0.0,0.0,0.0,0.0,1.0
.meme,0.0,0.0,0.0,0.0,0.0,1.0
.direct,0.0,0.0,0.0,0.0,0.0,1.0
.news,0.0,0.0,0.0,0.0,0.0,1.0
.gifts,0.0,0.0,0.0,0.0,0.0,1.0
.kim,0.0,0.0,0.0,0.0,0.0,1.0
.app,0.0,0.0,0.0,0.0,0.0,1.0
.fan,0.0,0.0,0.0,0.0,0.0,1.0
.money,0.0,0.0,0.0,0.0,0.0,1.0
.sale,0.0,0.0,0.0,0.0,0.0,1.0
.tools,0.0,0.0,0.0,0.0,0.0,1.0
睪丸,1.0,0.0,0.0,0.0,0.0,0.0
幹,1.0,0.0,0.0,0.0,0.0,0.0
交媾,1.0,0.0,0.0,0.0,0.0,0.0
陪玩,1.0,0.0,0.0,0.0,0.0,0.0
慾女,1.0,0.0,0.0,0.0,0.0,0.0
乳滑,0.0,0.0,1.0,0.0,0.0,0.0
大麻,0.0,0.0,0.0,1.0,0.0,0.0
抽大麻,0.0,0.0,0.0,1.0,0.0,0.0
呼麻,0.0,0.0,0.0,1.0,0.0,0.0
吸毒,0.0,0.0,0.0,1.0,0.0,0.0
毒品,0.0,0.0,0.0,1.0,0.0,0.0
恐攻,0.0,0.0,0.0,1.0,0.0,0.0
槍枝,0.0,0.0,0.0,1.0,0.0,0.0
買槍,0.0,0.0,0.0,1.0,0.0,0.0
海洛因,0.0,0.0,0.0,1.0,0.0,0.0
安非他命,0.0,0.0,0.0,1.0,0.0,0.0
K毒,0.0,0.0,0.0,1.0,0.0,0.0
小白板,0.0,0.0,0.0,1.0,0.0,0.0
嗑藥,0.0,0.0,0.0,1.0,0.0,0.0
克藥,0.0,0.0,0.0,1.0,0.0,0.0
安公子,0.0,0.0,0.0,1.0,0.0,0.0
安仔,0.0,0.0,0.0,1.0,0.0,0.0
冰糖,0.0,0.0,0.0,1.0,0.0,0.0
冰塊,0.0,0.0,0.0,1.0,0.0,0.0
快樂丸,0.0,0.0,0.0,1.0,0.0,0.0
搖頭丸,0.0,0.0,0.0,1.0,0.0,0.0
綠蝴蝶,0.0,0.0,0.0,1.0,0.0,0.0
液態快樂丸,0.0,0.0,0.0,1.0,0.0,0.0
煩寧,0.0,0.0,0.0,1.0,0.0,0.0
凡林,0.0,0.0,0.0,1.0,0.0,0.0
FM2,0.0,0.0,0.0,1.0,0.0,0.0
約會強暴丸,0.0,0.0,0.0,1.0,0.0,0.0
強 姦藥丸,0.0,0.0,0.0,1.0,0.0,0.0
強 姦藥,0.0,0.0,0.0,1.0,0.0,0.0
強姦藥,0.0,0.0,0.0,1.0,0.0,0.0
卡門,0.0,0.0,0.0,1.0,0.0,0.0
K他命,0.0,0.0,0.0,1.0,0.0,0.0
K粉,0.0,0.0,0.0,1.0,0.0,0.0
克他命,0.0,0.0,0.0,1.0,0.0,0.0
K仔,0.0,0.0,0.0,1.0,0.0,0.0
老鼠尾巴,0.0,0.0,0.0,1.0,0.0,0.0
螞蟻蛋,0.0,0.0,0.0,1.0,0.0,0.0
打管,0.0,0.0,0.0,1.0,0.0,0.0
走水路,0.0,0.0,0.0,1.0,0.0,0.0
開桶,0.0,0.0,0.0,1.0,0.0,0.0
藥仔頭,0.0,0.0,0.0,1.0,0.0,0.0
雞仔,0.0,0.0,0.0,1.0,0.0,0.0
梅C小姐,0.0,0.0,0.0,1.0,0.0,0.0
辣妹陪搖,0.0,0.0,0.0,1.0,0.0,0.0
黃色小巴,0.0,0.0,0.0,1.0,0.0,0.0
藥頭,0.0,0.0,0.0,1.0,0.0,0.0
古柯鹼,0.0,0.0,0.0,1.0,0.0,0.0
可待因,0.0,0.0,0.0,1.0,0.0,0.0
吩坦尼,0.0,0.0,0.0,1.0,0.0,0.0
甲喹酮,0.0,0.0,0.0,1.0,0.0,0.0
嗎啡,0.0,0.0,0.0,1.0,0.0,0.0
巴比妥,0.0,0.0,0.0,1.0,0.0,0.0
芬太尼,0.0,0.0,0.0,1.0,0.0,0.0
愷他命,0.0,0.0,0.0,1.0,0.0,0.0
甲基安非他命,0.0,0.0,0.0,1.0,0.0,0.0
冰毒,0.0,0.0,0.0,1.0,0.0,0.0
外送茶,1.0,0.0,0.0,0.0,0.0,0.0
約泡,1.0,0.0,0.0,0.0,0.0,0.0
約砲,1.0,0.0,0.0,0.0,0.0,0.0
砲友,1.0,0.0,0.0,0.0,0.0,0.0
徵砲友,1.0,0.0,0.0,0.0,0.0,0.0
com,0.0,0.0,0.0,0.0,0.0,1.0
.rodeo,0.0,0.0,0.0,0.0,0.0,1.0
.xyz,0.0,0.0,0.0,0.0,0.0,1.0
.beauty,0.0,0.0,0.0,0.0,0.0,1.0
.blog,0.0,0.0,0.0,0.0,0.0,1.0
.media,0.0,0.0,0.0,0.0,0.0,1.0
.select,0.0,0.0,0.0,0.0,0.0,1.0
.bike,0.0,0.0,0.0,0.0,0.0,1.0
.llc,0.0,0.0,0.0,0.0,0.0,1.0
.sc,0.0,0.0,0.0,0.0,0.0,1.0
.care,0.0,0.0,0.0,0.0,0.0,1.0
.pet,0.0,0.0,0.0,0.0,0.0,1.0
.pub,0.0,0.0,0.0,0.0,0.0,1.0
.picture,0.0,0.0,0.0,0.0,0.0,1.0
.social,0.0,0.0,0.0,0.0,0.0,1.0
.green,0.0,0.0,0.0,0.0,0.0,1.0
.poker,0.0,0.0,0.0,0.0,0.0,1.0
.men,0.0,0.0,0.0,0.0,0.0,1.0
.soccer,0.0,0.0,0.0,0.0,0.0,1.0
.pe,0.0,0.0,0.0,0.0,0.0,1.0
.ist,0.0,0.0,0.0,0.0,0.0,1.0
.page,0.0,0.0,0.0,0.0,0.0,1.0
.work,0.0,0.0,0.0,0.0,0.0,1.0
.games,0.0,0.0,0.0,0.0,0.0,1.0
.plus,0.0,0.0,0.0,0.0,0.0,1.0
